date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:29	4905/4905	---M-Z	200	added ('OK')	application/javascript	etag:%221329-5d7be695bb688-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.5.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.mina25a.js	(from https://newdetox.com.br/)
12:50:30	14235/14235	---M-Z	200	added ('OK')	application/javascript	etag:%22379b-5d7be695bc628-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.5.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.mina25a.js	(from https://newdetox.com.br/)
12:50:30	6595/6595	---M-Z	200	added ('OK')	application/javascript	etag:%2219c3-5d2065ae2c100-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.0.8	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min6173.js	(from https://newdetox.com.br/)
12:50:30	12198/12198	---M-Z	200	added ('OK')	application/javascript	etag:%222fa6-5d7be695b58c7-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://newdetox.com.br/)
12:50:30	172191/172191	---M-Z	200	added ('OK')	application/javascript	etag:%222a09f-5d2065ae2c100-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.0.8	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor-pro/assets/js/frontend.min6173.js	(from https://newdetox.com.br/)
12:50:31	139153/139153	---M-Z	200	added ('OK')	application/javascript	etag:%2221f91-5d7be695b7808-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://newdetox.com.br/)
12:50:31	2578/2578	---M-Z	200	added ('OK')	application/javascript	etag:%22a12-5d7be695b7808-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.5.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/share-link/share-link.mina25a.js	(from https://newdetox.com.br/)
12:50:31	10682/10682	---M-Z	200	added ('OK')	application/javascript	etag:%2229ba-5d7be695b6868-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.9.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/lib/dialog/dialog.mind227.js	(from https://newdetox.com.br/)
12:50:31	36889/36889	---M-Z	200	added ('OK')	application/javascript	etag:%229019-5d7be695bb688-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.5.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/js/frontend.mina25a.js	(from https://newdetox.com.br/)
12:50:32	60731/60731	---M-Z	200	added ('OK')	application/javascript	etag:%22ed3b-5d31f15382040-gzip%22	https://newdetox.com.br/wp-content/plugins/jet-elements/assets/js/jet-elements.min.js?ver=2.5.2	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/jet-elements/assets/js/jet-elements.min16b9.js	(from https://newdetox.com.br/)
12:50:32	43009/43009	---M-Z	200	added ('OK')	application/javascript	etag:%22a801-5d7be695ba6e8-gzip%22	https://newdetox.com.br/wp-content/plugins/elementor/assets/js/preloaded-modules.min.js?ver=3.5.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/elementor/assets/js/preloaded-modules.mina25a.js	(from https://newdetox.com.br/)
12:50:32	18911/18911	---M-Z	200	added ('OK')	application/javascript	etag:%2249df-5dfd0b75b28b3-gzip%22	https://newdetox.com.br/wp-includes/js/underscore.min.js?ver=1.13.3	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-includes/js/underscore.minb37e.js	(from https://newdetox.com.br/)
12:50:32	1340/1340	---M-Z	200	added ('OK')	application/javascript	etag:%2253c-5c59844787880-gzip%22	https://newdetox.com.br/wp-includes/js/wp-util.min.js?ver=6.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-includes/js/wp-util.minf049.js	(from https://newdetox.com.br/)
